state_name,year,no_capital_punishment,no_life_imprisonment,no_executed
Rajasthan,2007,3,3,false
Rajasthan,2008,3,2,false
Tamil Nadu,2012,3,4,false
West Bengal,2002,3,0,false
West Bengal,2004,3,1,true
Delhi,2008,3,0,false
Rajasthan,2013,3,2,false
West Bengal,2013,3,2,false
Andhra Pradesh,2012,2,0,false
Assam,2004,2,8,false
Assam,2007,2,17,false
Assam,2008,2,0,false
Bihar,2005,2,33,false
Bihar,2011,2,4,false
Chhattisgarh,2003,2,2,false
Chhattisgarh,2008,2,0,false
Haryana,2002,2,8,false
Jharkhand,2007,2,92,false
Kerala,2001,2,0,false
Madhya Pradesh,2009,2,15,false
Orissa,2010,2,0,false
Rajasthan,2004,2,2,false
Rajasthan,2011,2,4,false
Rajasthan,2012,2,4,false
Tripura,2007,2,8,false
Uttaranchal,2003,2,9,false
Uttaranchal,2009,2,0,false
West Bengal,2012,2,6,false
Chandigarh,2007,2,0,false
Chandigarh,2012,2,0,false
Delhi,2001,2,0,false
Pondicherry,2009,2,0,false
Assam,2013,2,5,false
Gujarat,2013,2,1,false
Jammu & Kashmir,2013,2,4,false
Andhra Pradesh,2001,1,1,false
Andhra Pradesh,2003,1,1,false
Assam,2002,1,1,false
Assam,2003,1,3,false
Assam,2006,1,63,false
Assam,2009,1,0,false
Chhattisgarh,2001,1,21,false
Chhattisgarh,2009,1,0,false
Goa,2007,1,0,false
Himachal Pradesh,2004,1,0,false
Himachal Pradesh,2005,1,0,false
Himachal Pradesh,2007,1,1,false
Jammu & Kashmir,2010,1,3,false
Jharkhand,2012,1,3,false
Karnataka,2011,1,0,false
Kerala,2004,1,9,false
Manipur,2002,1,0,false
Manipur,2003,1,0,false
Manipur,2008,1,0,false
Rajasthan,2001,1,13,false
Tamil Nadu,2004,1,0,false
Tripura,2012,1,0,false
Uttaranchal,2005,1,15,false
Uttaranchal,2012,1,0,false
West Bengal,2006,1,55,false
Chandigarh,2008,1,0,false
Chandigarh,2009,1,0,false
Himachal Pradesh,2013,1,0,false
Kerala,2013,1,0,false
Tamil Nadu,2013,1,2,false
Tripura,2013,1,1,false
Uttaranchal,2013,1,0,false
A & N Islands,2013,1,0,false
Andhra Pradesh,2004,0,0,false
Andhra Pradesh,2005,0,0,false
Andhra Pradesh,2006,0,0,false
Andhra Pradesh,2007,0,0,false
Andhra Pradesh,2008,0,0,false
Andhra Pradesh,2009,0,0,false
Andhra Pradesh,2010,0,0,false
Arunachal Pradesh,2009,0,0,false
Arunachal Pradesh,2010,0,0,false
Arunachal Pradesh,2011,0,0,false
Arunachal Pradesh,2012,0,0,false
Assam,2010,0,2,false
Assam,2011,0,1,false
Chhattisgarh,2012,0,4,false
Chhattisgarh,2004,0,0,false
Chhattisgarh,2005,0,0,false
Chhattisgarh,2006,0,0,false
Chhattisgarh,2010,0,0,false
